category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Средства и системы контроля и управления доступом;Сетевые контроллеры доступа;Сетевой контроллер Hikvision DS-K2812;DS-K2812;330764;302920080;Hikvision;Сетевой контроллер;Контроллер СКУД сетевой;11843.42;10757.78;Под заказ;https://www.tinko.ru/catalog/product/330764/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;Терминалы контроля доступа;Монитор IP-домофона Hikvision DS-KH6350-WTE1 (чёрный);DS-KH6350-WTE1 (чёрный);330708;305303208;Hikvision;Монитор IP-домофона;Монитор IP-домофона;8220.38;7466.85;В наличии;https://www.tinko.ru/catalog/product/330708/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн Hikvision DS-1273ZJ-130B;DS-1273ZJ-130B;246942;302700327;Hikvision;Кронштейн;Кронштейн;2731.44;2481.06;Под заказ;https://www.tinko.ru/catalog/product/246942/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн зажимной Hikvision DS-1290ZJ-BL;DS-1290ZJ-BL;272071;302700458;Hikvision;Кронштейн зажимной;Кронштейн;314.64;285.8;Под заказ;https://www.tinko.ru/catalog/product/272071/;image.jpg;
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);IP-видеорегистратор 32-канальный Hikvision DS-7732NI-M4;DS-7732NI-M4;325738;303616304;Hikvision;IP-видеорегистратор 32-канальный;Видеорегистратор NVR;39789.6;36142.22;В наличии;https://www.tinko.ru/catalog/product/325738/;image.jpg;document.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн столбовой Hikvision DS-1275ZJ-SUS;DS-1275ZJ-SUS;272058;302701533;Hikvision;Кронштейн столбовой;Кронштейн;2321.04;2108.28;В наличии;https://www.tinko.ru/catalog/product/272058/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн-адаптер Hikvision DS-1281ZJ-M;DS-1281ZJ-M;257699;302700582;Hikvision;Кронштейн-адаптер;Кронштейн;1545.84;1404.14;Под заказ;https://www.tinko.ru/catalog/product/257699/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн настольный Hikvision DS-1291ZJ-BL;DS-1291ZJ-BL;272072;302700459;Hikvision;Кронштейн настольный;Кронштейн;314.64;285.8;Под заказ;https://www.tinko.ru/catalog/product/272072/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1232ZJ-T;DS-1232ZJ-T;272043;302700957;Hikvision;Кронштейн настенный;Кронштейн;816.24;741.42;Под заказ;https://www.tinko.ru/catalog/product/272043/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1294ZJ-TRL;DS-1294ZJ-TRL;272074;302701950;Hikvision;Кронштейн настенный;Кронштейн;816.24;741.42;Под заказ;https://www.tinko.ru/catalog/product/272074/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1473ZJ-135;DS-1473ZJ-135;272080;302701863;Hikvision;Кронштейн настенный;Кронштейн;2321.04;2108.28;Под заказ;https://www.tinko.ru/catalog/product/272080/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1604ZJ-P;DS-1604ZJ-P;272091;302701970;Hikvision;Кронштейн настенный;Кронштейн;3917.04;3557.98;Под заказ;https://www.tinko.ru/catalog/product/272091/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1660ZJ-P ;DS-1660ZJ-P ;272094;302701932;Hikvision;Кронштейн настенный;Кронштейн;5695.44;5173.36;Под заказ;https://www.tinko.ru/catalog/product/272094/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн потолочный Hikvision DS-2664ZJ-P;DS-2664ZJ-P;272105;302701687;Hikvision;Кронштейн потолочный;Кронштейн;14815.44;13457.36;Под заказ;https://www.tinko.ru/catalog/product/272105/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Монтажная основа Hikvision DS-1280ZJ-M;DS-1280ZJ-M;273863;302700581;Hikvision;Монтажная основа;Монтажная основа;1545.84;1404.14;Под заказ;https://www.tinko.ru/catalog/product/273863/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн угловой Hikvision DS-1476ZJ-SUS;DS-1476ZJ-SUS;272084;302701861;Hikvision;Кронштейн угловой;Кронштейн;2457.84;2232.54;Под заказ;https://www.tinko.ru/catalog/product/272084/;image.jpg;
